,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.07,9,800,1000,12718.32,27000,13120.45,3%,10000,15897.9,10000,236,300,37.03,100,19537.47,15897.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.81,3,8.08,9,800,1000,11699.84,27000,12091.85,3%,10000,14619.55,10000,221,300,35.41,100,19585.92,14624.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.78,3,8.09,9,800,1000,11520.16,27000,11910.8,3%,10000,14395.93,10000,212,300,34.84,100,19634.43,14400.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.81,3,8.07,9,800,1000,11685.36,27000,12039.08,3%,10000,14609.05,10000,213,300,35.13,100,19537.47,14606.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.81,3,8.34,9,800,1000,12076.32,27000,12469.64,3%,10000,15103.54,10000,211,300,35.72,100,20866.68,15095.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.03,9,800,1000,11948.64,27000,12340.21,3%,10000,14927.24,10000,222,300,35.81,100,19344.27,14935.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.32,9,652,1000,10578.048,27000,10743.91,2%,10000,16230.24,10000,225,300,37.26,100,20766.72,16224
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.06,9,800,1000,12702.56,27000,13113.6,3%,10000,15869.33,10000,248,300,37.43,100,19489.08,15878.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.7,3,8.62,9,661,1000,9686.294,27000,9797.021,1%,10000,14659.95,10000,191,300,34.93,100,22291.32,14654
22.12.2022,ECA-40,RH02,D1-MG-885,1.47,3,8.68,9,760,1000,9697.296,27000,9769.036,1%,10000,12760.63,10000,164,300,32.11,100,22602.72,12759.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.78,3,8.6,9,638,1000,9766.504,27000,9875.314,1%,10000,15312.98,10000,197,300,35.83,100,22188,15308
22.12.2022,ECA-40,RH02,D1-MG-885,2.03,3,8.17,9,800,1000,13268.08,27000,13656.89,3%,10000,16579.42,10000,239,300,38.01,100,20024.67,16585.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.2,9,652,1000,10425.48,27000,10520.75,1%,10000,15989.8,10000,225,300,37.19,100,20172,15990
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.08,9,800,1000,11635.2,27000,12044.02,3%,10000,14541.66,10000,216,300,35.38,100,19585.92,14544
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.04,9,800,1000,12027.84,27000,12397.37,3%,10000,15037.23,10000,220,300,36.19,100,19392.48,15034.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.84,3,8.24,9,800,1000,12129.28,27000,12502.09,3%,10000,15154.06,10000,214,300,36.2,100,20369.28,15161.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.09,9,800,1000,12102.64,27000,12574.52,4%,10000,15137.46,10000,228,300,36.5,100,19634.43,15128.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.11,9,800,1000,12197.44,27000,12661.11,4%,10000,15249.06,10000,230,300,36.91,100,19731.63,15246.8
22.12.2022,ECA-40,RH02,D1-MG-885,2.02,3,8.09,9,838,1000,13694.4284,27000,14163.27,3%,10000,16343.82,10000,257,300,38.11,100,19634.43,16341.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.68,3,8.68,9,669,1000,9755.6256,27000,9863.749,1%,10000,14587.44,10000,182,300,34.96,100,22602.72,14582.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.66,3,9.97,9,610,1000,10095.622,27000,10218.92,1%,10000,16551.69,10000,159,300,36.99,100,29820.27,16550.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.7,3,8.71,9,663,1000,9817.041,27000,9883.691,1%,10000,14803.6,10000,180,300,35.45,100,22759.23,14807
22.12.2022,ECA-40,RH02,D1-MG-885,1.98,3,8.04,9,800,1000,12735.36,27000,13135.22,3%,10000,15921.38,10000,238,300,37.54,100,19392.48,15919.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.09,9,800,1000,12037.92,27000,12430.52,3%,10000,15038.84,10000,223,300,36.2,100,19634.43,15047.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.09,9,800,1000,12361.52,27000,12777.43,3%,10000,15447.89,10000,229,300,36.78,100,19634.43,15451.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.1,9,800,1000,12052.8,27000,12443.66,3%,10000,15066.19,10000,219,300,36.15,100,19683,15066
22.12.2022,ECA-40,RH02,D1-MG-885,1.14,3,9.79,9,560,1000,6249.936,27000,6432.788,3%,10000,11160.14,10000,118,300,31.12,100,28753.23,11160.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.84,3,8.16,9,800,1000,12011.52,27000,12408.19,3%,10000,15009.43,10000,215,300,36.31,100,19975.68,15014.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.96,3,8.27,9,663,1000,10746.6996,27000,10895.45,1%,10000,16202.73,10000,227,300,38.11,100,20517.87,16209.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.12,9,800,1000,12212.48,27000,12638.85,3%,10000,15268.04,10000,228,300,36.63,100,19780.32,15265.6
